#,Country,City,Company,Website,LinkedIn,Confidence
29,Egypt,Cairo,Asar Engineering,asarengineering.com,linkedin.com/company/asarengineering,medium
30,Europe (online),,Global Industrial Supplies,globalindustrialsupplies.eu,linkedin.com/company/tecnica-industriale-s.r.l.,high
31,France,Caluire-et-Cuire,Stober France,stober.com,linkedin.com/company/stober-france,high
32,France,Saint-Priest (Lyon),Rossi Motoreducteurs France,rossi.com,linkedin.com/company/rossi-motoreducteurs-sarl,high
33,France,,AUDIN,audin.fr,linkedin.com/company/audin,high
34,Germany,Lahr,Tramec Getriebe GmbH,tramec.it,not found,
35,Germany,Dreieich,Rossi GmbH,rossi.com,linkedin.com/company/rossi-gmbh,high
36,Germany,,ATG Engineering GmbH,atg-engineering.de,not found,
37,Germany,Stuttgart,Madler GmbH,maedler.de,linkedin.com/company/maedler,high
38,Greece,Piraeus,Alpha Hellas Service Mylonas,,not found,
39,Guatemala,Amatitlan,SRI,,not found,
40,Hungary,Bekescsaba,Csaba Hajtomu es Fogaskerekgyarto Kft.,,not found,
41,India,Ahmedabad,Adroit Gear Transmission,adroitgear.com,not found,
42,India,Mumbai,Vashi Integrated Solutions Ltd,vashiisl.com,linkedin.com/company/vashi-integrated-solutions,high
43,India,,Steel-O-Fab,steelofab.net,linkedin.com/company/steelofabengineers,high
44,India,,Indian Electric Co.,indianelectric.com,linkedin.com/company/the-indian-electric-co,high
45,India,Coimbatore,GMAC Associates,gmacassociates.com,linkedin.com/company/gmacindia,medium
46,Indonesia,Surabaya,CV Multi Mas,distributorgearbox.com,not found,
47,Indonesia,,PT Himalaya Everest Jaya (HEJ),hej.co.id,linkedin.com/company/pt-himalaya-everest-jaya,high
48,Indonesia,,PT Viktori Profindo Industri,viktori-profindo.com,linkedin.com/company/viktori-profindo-industri,high
49,Iran,,Arsha Sanat,arshasanat.com,not found,
50,Ireland,Navan,Timoney Aftermarket Ltd,,not found,
51,Israel,,Liraz Engineering,lrz.co.il,not found,
52,Italy,Treviso,Industrial Forniture Moro,morotreviso.com,linkedin.com/company/industrial-forniture-moro-s-n-c-,high
53,Japan,,Takatsu Denki Seiki (Takatsu),takatsu.co.jp,not found,
54,Kazakhstan,Almaty,Energy Star,estar.kz,not found,
55,Kenya,Nairobi,Electric Link International Ltd,electric-link.com,linkedin.com/company/electric-link-pan-africa-ltd,medium
56,Malaysia,Kuala Lumpur,Optimus Control Industry PLT,optimuscontrol.com,not found,
57,Mexico,,MG Industrial Imports,motorreductores.com,not found,
58,Morocco,,MGT,mgt.ma,not found,
59,Netherlands,Hillegom,Multispeeds Aandrijftechniek B.V.,multispeeds.nl,linkedin.com/company/multispeeds-aandrijftechniek,high
60,New Zealand,Auckland,SAECOWilson,saecowilson.co.nz,linkedin.com/company/saecowilson,high
61,Norway,Oslo,Voith Turbo AS,voith.com,linkedin.com/company/voith-turbo,medium
62,Peru,,VVA Industrial,vvaindustrial.com,linkedin.com/company/vva-industrial,high
63,Philippines,Manila,NTPI International Inc.,ntpi.com.ph,not found,
64,Poland,,Polpack Sp. z o.o.,polpack.com.pl,linkedin.com/company/polpack-systemy-napędowe-i-sterowania,high
65,Portugal,Mealhada,SEW-Eurodrive Portugal,sew-eurodrive.pt,linkedin.com/company/sew-eurodrive-portugal,high
66,Romania,,SITI Balkania,sitibalkania.ro,linkedin.com/company/siti-balkania-srl,high
67,Russia,,Servostar,servostar.ru,not found,
68,Russia,,FAM-Drive,fam-drive.ru,not found,
69,Saudi Arabia,,WOW Electricals,wowelectricals.com,not found,
70,Senegal,Dakar,CASI Senegal,casisenegal.com,not found,
71,Serbia,Novi Sad,ALSTEK,,not found,
72,Singapore,,PM Supplies,pmsupplies.com,not found,
73,Slovakia,Martin,Transmisie Engineering a.s.,,linkedin.com/company/transmisie-engineering,high
74,South Africa,Johannesburg,SEW-Eurodrive South Africa,sew-eurodrive.co.za,linkedin.com/company/sew-eurodrive-sa,high
75,South Africa,Johannesburg,BMG (Bearing Man Group),bmgworld.net,linkedin.com/company/bearing-man-group,high
76,South Korea,,Samil Gijeon (Samil Motor),samilmotor.com,not found,
77,Spain,,ROYSE (Rodamientos y Servicios),rodamientos.net,linkedin.com/company/rodamientos-y-servicios-sl,high
78,Sri Lanka,Colombo,Malith Engineering Tools,malithtools.lk,not found,
79,Sweden,Stockholm,AB Transmotec,transmotec.com,linkedin.com/company/transmotec-sweden-ab,high
80,Switzerland,Munchenstein,Alfred Imhof AG,imhof-ag.ch,linkedin.com/company/alfred-imhof-ag,high
81,Taiwan,,Li Xiang Machinery (PEI GONG),taiwan-drive.com,not found,
82,Tanzania,Dar es Salaam,Alkhalij Enterprises Limited,alkhalij.com,linkedin.com/company/alkhalij-enterprises-llc,medium
83,Thailand,,Perfect Power Line (PPL),ppl1980.com,not found,
84,Thailand,,Vanich Group,vanichgroup.com,not found,
85,Turkey,,Hakay Rulman,hakayrulman.com,linkedin.com/company/hakay-rulman-makina,high
86,UAE,Dubai,High Systems Electromechanics LLC,hsedubai.com,linkedin.com/company/highsyst,high
87,UAE,Dubai,Driveline Group,drivelinegroup.com,linkedin.com/company/driveline-general-trading-llc,high
88,USA,Wisconsin,Doig Corporation,doigcorp.com,linkedin.com/company/doig-corporation,high
89,USA,Southern California,Exim Engineering Inc.,eximeng.com,linkedin.com/company/exim-engineering-inc.,high
90,USA,"Houston, TX",HVH Industrial Solutions,hvhindustrial.com,linkedin.com/company/hvh-industrial-solutions,high
91,USA,"Birmingham, AL",Motion Industries,motion.com,linkedin.com/company/motionindustries,high
92,USA,,Precise Motion,precisemotion.com,linkedin.com/company/precise-motion-&-control-inc,high
93,Ukraine,,FAM Engineering,fam.com.ua,not found,
94,United Kingdom,,Yilmaz UK,yilmazuk.co.uk,linkedin.com/company/yilmaz-uk-ltd,high
95,Uruguay,Montevideo,Dreghal,dreghal.com.uy,linkedin.com/company/dreghal,high
96,Venezuela,Valencia,MIVALCA (Motores Industriales Valencia CA),mivalca.com,not found,
97,Vietnam,,Long Minh Tech,longminhtech.com,not found,
98,Vietnam,Binh Duong,Dai Kinh Nam,daikinhnam.com.vn,not found,
99,Zambia,Lusaka,Powerdrive Zambia,powerdrive.co.zm,not found,
100,Zimbabwe,,Powerdrive Zimbabwe,powerdrive.co.zw,not found,
