Company,Objective,Sector,Website,Phone,LinkedIn,Founded,Est. Revenue,NAICS
GlobeCore Uzbekistan - трансформаторларга техник хизмат кўрсатиш учун ускуналар,Competitor / peer,Machinery manufacturing,http://www.globecore.uz,+998901878682,http://www.linkedin.com/company/globecore-uzbekistan,1969,,33399
KCT,Competitor / peer,Machinery manufacturing,http://www.kctorg.com,,http://www.linkedin.com/company/kctorg,2019,,"333,423450,423820,423440"
LiuGong Central Asia,Competitor / peer,Machinery manufacturing,http://www.liugonguz.uz,,http://www.linkedin.com/company/liugong-central-asia,1958,,33312
LLC Promxim Impex,Competitor / peer,Fabricated metal & machinery,http://www.barvent.uz,+998781478999,http://www.linkedin.com/company/asdacell,1990,,33242
Midea Uzbekistan,Competitor / peer,Machinery manufacturing,http://www.midea.uz,+998781137215,http://www.linkedin.com/company/midea-uzbekistan,,,33341
Mirankul Group,Competitor / peer,Fabricated metal & machinery,http://www.mironkul.uz,,http://www.linkedin.com/company/mirankul-group,,,"332311,236210"
MUSAKA CNC SERVICE,Competitor / peer,Machinery manufacturing,http://www.agessa.uz,+903122120275,http://www.linkedin.com/company/musakacnc,2025,,33341
Next Level Group,Competitor / peer,Fabricated metal & machinery,,,http://www.linkedin.com/company/next-level-group-company,2021,,"332321,541310"
Nura Electric,Competitor / peer,Machinery manufacturing,,+998712027676,http://www.linkedin.com/company/nura-electric,,,"335313,238210,333248"
O'zelektroapparat-Electroshield,Competitor / peer,Electrical equipment,http://www.uzea.uz,,http://www.linkedin.com/company/uzea,1941,,"33599,335313,541330"
Petropipe Heavy Engineering,Competitor / peer,Fabricated metal & machinery,,,http://www.linkedin.com/company/petropipe-engineering,2018,,"332410,333914"
SOLVEX,Competitor / peer,Machinery manufacturing,http://www.solvex.pro,+74959280852,http://www.linkedin.com/company/solvexscv,2019,,33324
Steel Property Construction,Competitor / peer,Fabricated metal & machinery,http://www.spc.uz,,http://www.linkedin.com/company/steel-property-construction,,,33231
Tapflo Uzbekistan,Competitor / peer,Machinery manufacturing,http://www.tapflo.uz,+998907998940,http://www.linkedin.com/company/tapflo-uzbekistan,,,333914
TECHNIQUE LLC,Competitor / peer,Fabricated metal & machinery,http://www.llctechnique.com,,http://www.linkedin.com/company/llc_technique_llc,,,"54138,332,54133"
TEXENERGOREMMASH,Competitor / peer,Electrical equipment,http://www.energo.uz,+998951954261,http://www.linkedin.com/company/energouz,2007,,33531
Turboplast,Competitor / peer,Fabricated metal & machinery,http://www.turboplast.uz,,http://www.linkedin.com/company/turboplast-uz,2018,,33291
UZMAC LLC,Competitor / peer,Machinery manufacturing,http://www.uzmac.com,+998998715775,http://www.linkedin.com/company/uzmac-llc,2017,,33312
Viessmann Climate Solutions UZ,Competitor / peer,Machinery manufacturing,http://www.viessmann.uz,,http://www.linkedin.com/company/viessmann-climate-solutions-uz,1917,,33361
"ООО ""Metal Processing""",Competitor / peer,Fabricated metal & machinery,http://www.mtlp.uz,,http://www.linkedin.com/company/%d0%be%d0%be%d0%be-metal-processing,2018,,33231
Navoi Mining and Metallurgical Company,Customer,Mining & metallurgy,http://www.ngmk.uz,+998792277164,http://www.linkedin.com/company/jsc-nmmc,1958,7.4B,"212220,331410"
UzAuto Motors,Customer,Automotive & transport,https://uzautomotors.com,+998781417777,http://www.linkedin.com/company/uzauto-motors,1992,4.1B,336110
Uzbekneftegaz JSC,Customer,Oil & gas,https://ung.uz,,http://www.linkedin.com/company/uzbekneftegaz,,2.2B,"211120,211130,324110,325211"
ERIELL Group,Customer,Oil & gas,http://www.eriell.com,+74957218176,http://www.linkedin.com/company/eriell-group,2004,784.8M,213112
AKFA Group of Companies,Customer,Metallurgy & steel,http://www.akfa.uz,+998712030000,http://www.linkedin.com/company/akfa-group-of-companies,1998,384M,"332321,331318,32612"
UzAuto Motors Powertrain,Customer,Automotive & transport,https://umpt.uz,+998712806418,http://www.linkedin.com/company/uzauto-motors-powertrain,2008,362M,"54151,336310"
Khantex Group,Customer,Textile manufacturing,http://www.khantex.uz,+998951971551,http://www.linkedin.com/company/khantex-group,2017,50M,"31322,313110,313240,314120"
"""HUDUDIY ELEKTR TARMOQLARI"" AKSIYADORLIK JAMIYATI",Customer,Power & energy,http://www.het.uz,,http://www.linkedin.com/company/hududiy-elektr-tarmoqlari-aksiyadorlik-jamiyati,2019,,22111
2K Enerji,Customer,Power & energy,http://www.2kenerji.uz,,http://www.linkedin.com/company/2k-enerji,,,22111
Aberno Butters Group,Customer,Food processing,http://www.aberno.uz,+998953427070,http://www.linkedin.com/company/aberno-butters-group,,,31111
ABNMB Group,Customer,Food processing,http://www.abnmbgroup.com,+998712442701,http://www.linkedin.com/company/abnmb-group,,,"722511,311812,312120"
ABREST Energy Engineering LLC,Customer,Power & energy,http://www.abrest.uz,+998781501262,http://www.linkedin.com/company/abrest-energy-engineering,,,"22111,23713,23821,54133"
ADM GLOBAL,Customer,Automotive & transport,https://adm.uz,+998712177777,http://www.linkedin.com/company/adm-global-uz,,,"33639,336110,441110,488510"
Agro holding GDF,Customer,Food processing,http://www.gdf.uz,+998712952260,http://www.linkedin.com/company/gold-dried-fruits,2012,,"111219,111339,311411,311423"
AGROMIR group of companies,Customer,Food processing,http://www.agromir.uz,+998781227777,http://www.linkedin.com/company/jv-agromir-food,2014,,"31141,311421,312112,312130"
Ajlan&Bros Uzbekistan,Customer,Textile manufacturing,http://www.ajlanbros.com,+966114665555,http://www.linkedin.com/company/ajlanbros-uzbek,1979,,"313,315,44-45"
AKFA Aluminium,Customer,Cement & building materials,http://www.akfaaluminium.com,+998712030000,http://www.linkedin.com/company/akfa-international,1996,,"332321,327211"
AKFA BUILD,Customer,Cement & building materials,http://www.akfabuild.eu,,http://www.linkedin.com/company/akfabuild,2016,,"33324,236,327"
Amin Exco,Customer,Textile manufacturing,http://www.aminexco.com,+447599175111,http://www.linkedin.com/company/aminexco,,,31322
AmperVolt,Customer,Power & energy,http://www.ampervolt.uz,,http://www.linkedin.com/company/ampervolt,,,"22111,238210,541330"
APITEKS,Customer,Textile manufacturing,http://www.apiteks.uz,+998712554043,http://www.linkedin.com/company/apiteks,2004,,31323
Aral Sea Operating Company LLC,Customer,Oil & gas,https://aralsea-op.com,,http://www.linkedin.com/company/aral-sea-operating-company-llc,2006,,"211120,211130"
ARIF SOLAR,Customer,Power & energy,http://www.arifsolar.uz,+998712030056,http://www.linkedin.com/company/arif-international-holdings,,,"22111,238210,541330"
Aurum Global Group,Customer,Mining & metallurgy,https://aurumglobalpartners.com,,http://www.linkedin.com/company/aurum-global-group,2022,,"212220,523160"
Avtokomponent / AK,Customer,Automotive & transport,https://autocomponent.uz,,http://www.linkedin.com/company/avtokomponent,2009,,3363
Bahmal Group,Customer,Textile manufacturing,,,http://www.linkedin.com/company/bahmal-group,2005,,"313310,315250,458110"
BAHT TEXTILE,Customer,Textile manufacturing,,,http://www.linkedin.com/company/baht-textile,2006,,313110
Bakan Tex,Customer,Textile manufacturing,http://www.bakantex.com,+998935011153,http://www.linkedin.com/company/bakan-tex,2017,,"31322,313110"
Basalt Uzbekistan,Customer,Cement & building materials,https://basaltuzbekistan.com,+998555108888,http://www.linkedin.com/company/basaltfiberuz,2015,,"327993,327999"
Bct_denim,Customer,Textile manufacturing,http://www.bctdenim.com,,http://www.linkedin.com/company/bct-denim,2020,,"31322,313210,315250,111920"
BEK MEGA TEXTILE,Customer,Textile manufacturing,http://www.bekmegatextile.uz,+998998611020,http://www.linkedin.com/company/bekmegatextile,2012,,"31322,313240,424310"
Best Poultry LLC,Customer,Food processing,http://www.safi.uz,+998712316969,http://www.linkedin.com/company/unique-poultry-llc,2013,,31161
BETOMAX LLC,Customer,Cement & building materials,https://betomax.uz,,http://www.linkedin.com/company/betomax-llc,1952,,32739
BI VERMICULITE GROUP,Customer,Mining & metallurgy,https://vermiculite.uz,,http://www.linkedin.com/company/bi-vermiculite-group,2009,,"212390,327992"
Binokor,Customer,Cement & building materials,http://www.binokor.uz,+998712050022,http://www.linkedin.com/company/binokor,2011,,"327320,327390"
BYD Uzbekistan Factory,Customer,Automotive & transport,https://bydauto.uz,,http://www.linkedin.com/company/byd-uzbekistan-factory,2023,,"336110,335910"
Candy Gold LLC,Customer,Food processing,http://www.candy-gold.uz,+998712002228,http://www.linkedin.com/company/candy-gold-llc,2006,,31134
Chromos Production,Customer,Food processing,http://www.appetito.uz,+998994445675,http://www.linkedin.com/company/chromos-production,,,31151
COTTONLAND,Customer,Textile manufacturing,http://www.cottonland.uz,,http://www.linkedin.com/company/cottonland,2012,,31322
Crafers,Customer,Food processing,http://www.crafers.uz,+998712077207,http://www.linkedin.com/company/crafersuz,2018,,"311340,311352,311821"
Daewoo Textile Fergana,Customer,Textile manufacturing,http://www.daewootextile.com,+998732290700,http://www.linkedin.com/company/daewoo-textile-fergana,1996,,"313110,313210"
DAKA-TEX Group,Customer,Textile manufacturing,http://www.dakatex.uz,,http://www.linkedin.com/company/daka-group-of-companies,2008,,"31322,313110,313240,315250"
DEYA Confectionary Company,Customer,Food processing,http://www.deya.uz,,http://www.linkedin.com/company/deya-uz,2005,,311340
EAST WEST INVEST,Customer,Food processing,http://www.cheers.uz,,http://www.linkedin.com/company/east-west-invest,2013,,311919
Eastern Agro Export,Customer,Food processing,http://www.eastagro.uz,,http://www.linkedin.com/company/eastern-agro-export,2021,,31111
EKOKERAMA LLC,Customer,Cement & building materials,https://ekokerama.com,+998985758018,http://www.linkedin.com/company/ekokerama,2018,,"32712,327110"
ELEGANT GARMENT TEXTİLE,Customer,Textile manufacturing,http://www.elegantgarment.uz,+998977448849,http://www.linkedin.com/company/elegant-garment-texti%cc%87le,,,"31599,315250,313240"
Energy Power Solution,Customer,Power & energy,http://www.eps.uz,+998781290911,http://www.linkedin.com/company/energy-power-solution,2014,,"22111,423830,541330"
Enersok FE LLC,Customer,Power & energy,https://enersok.uz,,http://www.linkedin.com/company/enersok-fe-llc,2022,,221112
Ermak Gıda,Customer,Food processing,http://www.ermak.uz,,http://www.linkedin.com/company/ermak-gida,1992,,31191
Esmak Automotive LLC,Customer,Automotive & transport,http://www.esmak.uz,+998662401577,http://www.linkedin.com/company/esmak-automotive-llc,,,"33621,336360"
EVROtbm,Customer,Cement & building materials,https://evrotbm.uz,,http://www.linkedin.com/company/evrotbm,2020,,"327320,327390"
GEO RESEARCH AND DEVELOPMENT COMPANY,Customer,Oil & gas,http://www.grdc.uz,,http://www.linkedin.com/company/georesearh,2018,,"54136,541715,213112"
Global Textile,Customer,Textile manufacturing,http://www.global-textile.com,+998712318601,http://www.linkedin.com/company/globaltextilecom,2015,,"31322,313110,315250,111920"
HAJTEX Group,Customer,Textile manufacturing,http://www.hajtex.com,,http://www.linkedin.com/company/hajtex,2018,,"31323,313110,313240,315250"
Hamza Expo Art Textile,Customer,Textile manufacturing,http://www.hamzatex.uz,+998909357775,http://www.linkedin.com/company/heattex,2010,,31322
JSC Almalyk Mining And Metallurgical Complex,Customer,Mining & metallurgy,https://agmk.uz,+998706192333,http://www.linkedin.com/company/jsc-almalyk-mining-and-metallurgical-complex,1952,,"21229,212230,212220"
JSC General Motors Uzbekistan,Customer,Automotive & transport,https://gmuzbekistan.uz,,http://www.linkedin.com/company/jsc-general-motors-uzbekistan,,,336110
JSC National Electric Grid of Uzbekistan,Customer,Power & energy,http://www.uzbekistonmet.uz,,http://www.linkedin.com/company/jsc-national-electric-grid-of-uzbekistan,2019,,"22111,221121,221122"
JSC Uzmetkombinat,Customer,Metallurgy & steel,http://www.uzbeksteel.uz,+998715141462,http://www.linkedin.com/company/jsc-uzmetkombinat,1942,,331110
"JV LLC ""Samarkand Garden""",Customer,Food processing,http://www.samarkandgarden.com,,http://www.linkedin.com/company/jv-llc-samarkand-garden-plast,2013,,"31191,111339,311411"
Kalleh Uzbekistan,Customer,Food processing,http://www.kalleh.uz,,http://www.linkedin.com/company/kalleh-uz,,,"311511,311513,311514"
Karbonat JSC,Customer,Cement & building materials,https://karbonat.uz,,http://www.linkedin.com/company/karbonatjsc,,,32799
Khantex Group LLC,Customer,Textile manufacturing,http://www.khantex.group,,http://www.linkedin.com/company/khantex-group-llc,2017,,"313240,315250"
Kogon Neftegaz Energo Servis LLC,Customer,Oil & gas,http://www.knges.uz,,http://www.linkedin.com/company/kogon-neftegaz-energo-servis-llc,2009,,21311
Licorice Extract LLC,Customer,Chemicals,http://www.licext.com,,http://www.linkedin.com/company/licorice-extract-llc,2014,,"31111,311999,325411,325620"
LIGHT CENTRAL ASIA,Customer,Textile manufacturing,http://www.lightca.news,,http://www.linkedin.com/company/lightcanews,2024,,31311
"LLC ""Toshkent Metallurgiya Zavodi""",Customer,Metallurgy & steel,http://www.tashkentsteel.uz,+998712098811,http://www.linkedin.com/company/llc-toshkent-metallurgiya-zavodi,2017,,33111
LT TEXTILE（Uzbekistan）,Customer,Textile manufacturing,http://www.litaitextile.com,,http://www.linkedin.com/company/lttextile,2017,,313110
Majoris Invest LLC (M-Technics),Customer,Automotive & transport,https://uzmt.uz,,http://www.linkedin.com/company/mtechnicsuz,2023,,33639
"MARJAN INVESTMENT GROUP, FE LLC.",Customer,Textile manufacturing,http://www.marjan.uz,,http://www.linkedin.com/company/marjan-investment-group-inc.,2016,,3131
Ms-Barer Textile LLC.,Customer,Textile manufacturing,http://www.msbarer.uz,,http://www.linkedin.com/company/ms-barer-textile-llc,,,"31322,313210,313310,315250"
Multinational Mine Group,Customer,Mining & metallurgy,https://multinationalminegroup.com,,http://www.linkedin.com/company/multinational-mine-group,,,212221
Navoiyuran,Customer,Mining & metallurgy,https://navoiyuran.uz,,http://www.linkedin.com/company/navoiuran,2022,,2122
Navruz Group,Customer,Chemicals,http://www.navruzint.com,+998781506010,http://www.linkedin.com/company/navruz-international-corp,1997,,"312112,311511,325611,326112"
Nura Group,Customer,Power & energy,https://nuraelectric.uz,+998712027676,http://www.linkedin.com/company/nuragroup-uzbekistan,2011,,"33599,2211,237130,335313"
OsbornTextile,Customer,Textile manufacturing,http://www.osborntextile.uz,,http://www.linkedin.com/company/osborntextile,2007,,31322
Paknar Bread Improver,Customer,Food processing,http://www.paknar.uz,,http://www.linkedin.com/company/paknar-bread-improver,2011,,31181
PARTNERTEX,Customer,Textile manufacturing,http://www.partnertex.uz,,http://www.linkedin.com/company/partnertex,,,31322
Pitworks Mining Group,Customer,Oil & gas,,,http://www.linkedin.com/company/pitworks-mining-group,2025,,21311
Prime Ceramics Uzbekistan,Customer,Cement & building materials,https://ceramicastellare.com,,http://www.linkedin.com/company/prime-ceramics-uzbekistan,2017,,"327110,423390"
Puremilky,Customer,Food processing,http://www.puremilky.uz,+998981806655,http://www.linkedin.com/company/puremilky,2014,,31151
QAND,Customer,Food processing,http://www.qand.uz,,http://www.linkedin.com/company/qand,2017,,"311352,445298"
Riviera Textile LLC,Customer,Textile manufacturing,http://www.riviera.uz,+998951704343,http://www.linkedin.com/company/riviera-textile-llc,2013,,31323
Rozmetov Group,Customer,Food processing,http://www.rozmetov.uz,+998712001989,http://www.linkedin.com/company/rozmetov-group,,,"311612,445110,49311"
SA GROUP,Customer,Cement & building materials,http://www.sagroup.uz,+998901500000,http://www.linkedin.com/company/sagroupuz,2018,,32731
Safia,Customer,Food processing,,+998781134040,http://www.linkedin.com/company/safiabakery,2005,,"722513,311811"
Safia Café & Bakery,Customer,Food processing,http://www.safiabakery.uz,+998781134040,http://www.linkedin.com/company/safia-caf%c3%a9-bakery,2001,,"31134,722513,311812"
Sam Negin LLC,Customer,Textile manufacturing,http://www.sngroup.uz,+998904540000,http://www.linkedin.com/company/sam-negin-llc,2003,,31323
Samarkand Euro Asia Textile,Customer,Textile manufacturing,http://www.seatextile.uz,,http://www.linkedin.com/company/samarkand-euro-asia-textile,2014,,"313210,314120,315250"
Samotextile,Customer,Textile manufacturing,http://www.samo.uz,+9989994548,http://www.linkedin.com/company/samotextileuz,,,"31323,315120"
Sanoat Energetika Guruhi (Saneg),Customer,Oil & gas,https://saneg.com,+998781500057,http://www.linkedin.com/company/sanoat-energetika-guruhi-saneg,2017,,"211120,211130,324110"
Sardoba Textile & Workwear,Customer,Textile manufacturing,http://www.sardobatextile.uz,,http://www.linkedin.com/company/sardoba-textile,,,3131
SC Uzavtosanoat,Customer,Automotive & transport,,+998711407666,http://www.linkedin.com/company/jsc-uzavtosanoat,1994,,"336110,336390"
SEG Enera,Customer,Oil & gas,https://enera.uz,+998781500057,http://www.linkedin.com/company/seg-enera,,,"21112,551112"
Sharq Textile Group,Customer,Textile manufacturing,http://www.stg.com.uz,,http://www.linkedin.com/company/sharq-textile-group,1995,,31322
SIYOB GROUP OF COMPANIES,Customer,Food processing,http://www.siyob.uz,+998557055177,http://www.linkedin.com/company/siyob-group-of-companies,1999,,"33999,311511,311615,311224,112320,315250"
SJSC Uzbekenergo,Customer,Power & energy,,,http://www.linkedin.com/company/sjsc-uzbekenergo,,,2211
Solara Uzbekistan,Customer,Power & energy,https://solara.uz,,http://www.linkedin.com/company/solara-uzbekistan-company,2022,,22111
South Development Holding,Customer,Cement & building materials,http://www.sdh.uz,,http://www.linkedin.com/company/south-development-holding,2008,,"551114,313110,327999"
SPA ELXOLDING,Customer,Automotive & transport,https://eldosh.uz,,http://www.linkedin.com/company/spa-elxolding,1988,,33639
SPACE WIND LLC,Customer,Power & energy,https://spacewind.uz,,http://www.linkedin.com/company/space-wind,2022,,22111
SPICE EXPERT,Customer,Food processing,http://www.spiceexpert.uz,+998951950494,http://www.linkedin.com/company/spice-expert,,,31193
Sulton Tex Group LLC,Customer,Textile manufacturing,http://www.sultontex.uz,+998752200101,http://www.linkedin.com/company/sulton-tex-group-pe,2017,,"31322,3131,31525"
Surhan Gas Chemical Operating Company,Customer,Oil & gas,https://sgc-oc.com,+998781503050,http://www.linkedin.com/company/surhan-gas-chemical,2017,,"21112,211130,325110"
Takhiatash Thermal Power Plant,Customer,Power & energy,,,http://www.linkedin.com/company/takhiatash-thermal-power-plant,1964,,221112
Talimarjan Power Plant 1 LLC,Customer,Power & energy,,,http://www.linkedin.com/company/talimarjan-power-plant-1-llc,2023,,221112
Tarle Group - Industrial Manufacturing Group based in Uzbekistan,Customer,Metallurgy & steel,http://www.tarlesandwich.uz,+998933809666,http://www.linkedin.com/company/tarleplast-group,2003,,"332311,326112,33121"
TECHENERGY,Customer,Oil & gas,https://techenergy.uz,,http://www.linkedin.com/company/techenergyuzb,2024,,"213112,541611"
TRIANGUL METALS TEBINBULAK,Customer,Mining & metallurgy,http://www.triangulmetals.com,,http://www.linkedin.com/company/tri-met,2021,,"33111,2122"
Tubo Fruits,Customer,Food processing,http://www.tubofruits.com,,http://www.linkedin.com/company/tubo-fruits,1991,,31111
UET CONSTRUCTION,Customer,Power & energy,http://www.uetconstruction.com,+998774430033,http://www.linkedin.com/company/uet-construction,2023,,"237130,236220,541330,221114,221115"
Urganch Bahmal,Customer,Textile manufacturing,http://www.bahmal.uz,+998914290269,http://www.linkedin.com/company/urganch-bahmal,2005,,31323
Uz Truck & Bus Motors (MAN Uzbekistan),Customer,Automotive & transport,https://uztbm.uz,,http://www.linkedin.com/company/uz-truck-bus-motors,,,33612
Uz-Kor Gas Chemical LLC,Customer,Oil & gas,https://uz-kor.com,,http://www.linkedin.com/company/uz-kor-gas-chemical,2008,,"32521,325110,211130"
UZ-KORAM,Customer,Automotive & transport,https://uzkoram.uz,,http://www.linkedin.com/company/uz-koram,1995,,"336390,326199"
Uz-SaeMyung Co.,Customer,Automotive & transport,https://uzsmg.uz,,http://www.linkedin.com/company/jv-uz-saemyung-co,1997,,336390
UzAuto-INZI LLC,Customer,Automotive & transport,http://www.uzinzi.uz,+998712073300,http://www.linkedin.com/company/jv-uzauto-inzi-llc,2015,,"33281,336390"
UzAvtosanoat,Customer,Automotive & transport,https://uzavtosanoat.uz,+998711407666,http://www.linkedin.com/company/uzavtosanoat,1992,,"336110,336310"
Uzbekistan GTL LLC,Customer,Oil & gas / refining,http://www.oltinyolgtl.com,+998712024080,http://www.linkedin.com/company/uzbekistan-gtl-llc,,,324110
"UzChasys Co., Ltd.",Customer,Automotive & transport,https://uzchasys.uz,+998953004520,http://www.linkedin.com/company/uzchasys,2009,,"54151,336320"
UZTEX,Customer,Textile manufacturing,http://www.uztexgroup.uz,,http://www.linkedin.com/company/uztex-yarn,2009,,313110
UZTEX GROUP,Customer,Textile manufacturing,http://www.uztex.uz,,http://www.linkedin.com/company/jv-uztex-llc,2004,,"54151,313110,315120"
Uztransgaz JSC,Customer,Oil & gas,https://utg.uz,+998712021012,http://www.linkedin.com/company/uztransgaz-jsc,,,"21112,486210"
UZVTORCVETMET,Customer,Metallurgy & steel,http://www.uzvtorcvetmet.uz,,http://www.linkedin.com/company/uzvtorcvetmet,,,33141
Van Universal Motors (VUM / FAW),Customer,Automotive & transport,https://faw.uz,+998555086060,http://www.linkedin.com/company/vanuniversalmotors,2018,,33612
Volkswagen Uzbekistan,Customer,Automotive & transport,,,http://www.linkedin.com/company/volkswagenuzb,,,336110
Yangi Kon LLC,Customer,Oil & gas,https://yangikon.uz,,http://www.linkedin.com/company/yangikon-llc,,,"211130,213112"
Yashil Energiya LLC,Customer,Power & energy,https://yashil-energiya.uz,,http://www.linkedin.com/company/yashil-energiya,2023,,"221114,221111,221122"
АО Узбекнефтегаз,Customer,Oil & gas,,,http://www.linkedin.com/company/aouzbekneftegaz,,,"211120,211130"
"СП ООО ""EAST-WEST INVEST""",Customer,Food processing,http://www.ewisnacksuz.com,+998781506500,http://www.linkedin.com/company/east-west-invest-company,2017,,311919
Konstan Kran Servis LLC,Partner / supplier,Machinery & equipment distribution,http://www.konstan.uz,,http://www.linkedin.com/company/konstan-kran-servis,,,42383
MECHANICS LLC,Partner / supplier,Machinery & equipment distribution,http://www.uzmechanics.com,+998951011606,http://www.linkedin.com/company/mechanics-llc,2022,,"423830,541330"
Textile Technologies & Services,Partner / supplier,Machinery & equipment distribution,http://www.uz-tts.com,+998909070020,http://www.linkedin.com/company/textile-technologies-services,2012,,"33993,423830"
Uzbekistan: OOO BNZ Industrial Support (Hilti Authorized Distributor),Partner / supplier,Machinery & equipment distribution,http://www.hilti.com.uz,,http://www.linkedin.com/company/hilti-uzbekistan,,,423830
Zeppelin Uzbekistan,Partner / supplier,Machinery & equipment distribution,http://www.zeppelin.uz,+9985019933,http://www.linkedin.com/company/zeppelinuz,2017,,423830
